Name,Lng,Lat,x,y
x,151.206826,-33.870877,-4.269,14.701
x,151.206727,-33.870944,-5.621,16.100
x,151.206727,-33.870944,-5.621,16.100
x,151.206727,-33.870944,-5.621,16.100
x,151.206727,-33.870944,-5.621,16.100
x,151.206827,-33.870871,-6.078,17.072
x,151.206824,-33.870861,28.917,56.275
x,151.206776,-33.870859,25.865,59.452
x,151.206735,-33.870859,27.316,52.895
x,151.206704,-33.870862,25.890,54.166
x,151.206701,-33.870862,32.485,51.879
x,151.206734,-33.870833,21.816,68.098
x,151.206724,-33.870854,21.194,68.223
x,151.206793,-33.870830,20.135,69.616
x,151.206714,-33.870859,20.493,60.793
x,151.206817,-33.870805,22.594,69.481
x,151.206788,-33.870825,23.769,55.005
x,151.206741,-33.870851,24.997,63.358
x,151.206717,-33.870858,22.720,65.870
x,151.206739,-33.870842,31.681,59.941
x,151.206778,-33.870860,21.081,67.812
x,151.206820,-33.870822,30.218,49.340
x,151.206777,-33.870879,21.512,62.978
x,151.206743,-33.870870,32.550,59.080
x,151.206883,-33.872557,13.036,74.742
x,151.206885,-33.872554,2.688,30.527
x,151.206886,-33.872551,1.950,26.606
x,151.206887,-33.872548,1.895,24.979
x,151.206847,-33.872005,3.365,19.553
