Name,Lng,Lat,x,y
x,151.210103,-33.870701,14.542,90.000
x,151.210105,-33.870705,9.197,69.001
x,151.210110,-33.870707,10.110,71.120
x,151.210117,-33.870707,15.660,74.308
x,151.210131,-33.870708,18.387,68.838
x,151.210140,-33.870709,20.192,67.243
x,151.210152,-33.870714,19.854,66.257
x,151.210150,-33.870720,10.822,77.265
x,151.209610,-33.876487,0.504,11.050
x,151.209610,-33.876489,-0.920,13.452
x,151.209610,-33.876488,-0.920,13.452
x,151.209695,-33.876506,-3.654,11.286
x,151.209743,-33.876546,6.011,11.575
x,151.209676,-33.876586,2.898,9.364
x,151.209633,-33.876609,-0.162,12.708
x,151.209592,-33.876635,3.705,12.111
x,151.209566,-33.876628,3.243,13.127
x,151.209568,-33.876619,5.667,13.937
x,151.209568,-33.876614,-0.633,10.544
x,151.209581,-33.876611,-1.169,5.067
x,151.209606,-33.876617,-2.957,9.869
x,151.209633,-33.876628,16.712,11.240
x,151.209920,-33.876833,46.729,-24.428
x,151.209952,-33.876854,49.811,-0.695
x,151.209971,-33.876873,51.568,4.085
x,151.209971,-33.876882,48.553,6.283
x,151.209981,-33.876895,40.860,-21.310
x,151.210005,-33.876917,56.119,-23.509
x,151.210050,-33.876952,47.183,-21.696
x,151.210069,-33.876968,48.502,-16.606
x,151.210071,-33.876977,52.467,-7.372
x,151.210053,-33.876986,52.491,-7.072
x,151.210107,-33.876971,56.150,-7.990
x,151.210163,-33.876956,54.715,-8.131
x,151.210242,-33.876942,54.331,-10.466
x,151.210342,-33.876939,56.374,-10.634
x,151.210564,-33.877014,54.988,-10.960
x,151.210634,-33.877023,53.589,-14.179
x,151.210721,-33.877024,55.501,-14.127
x,151.210780,-33.877019,54.767,-13.804
x,151.210832,-33.877031,55.614,-12.438
x,151.210903,-33.877065,54.724,-12.403
x,151.210949,-33.877073,55.341,-11.000
x,151.210958,-33.877074,53.996,-11.408
x,151.211017,-33.877096,54.452,-11.414
x,151.211042,-33.877086,54.632,-14.902
x,151.211067,-33.877097,54.550,-11.710
x,151.211083,-33.877099,55.931,-9.334
x,151.211107,-33.877114,55.947,-8.376
x,151.211164,-33.877106,56.123,-8.437
x,151.211211,-33.877078,56.657,-8.632
x,151.211219,-33.877084,56.800,-8.803
x,151.211252,-33.877129,56.790,-8.725
x,151.211306,-33.877117,56.741,-8.503
x,151.211320,-33.877102,59.760,-0.119
x,151.211334,-33.877110,59.855,-1.083
x,151.211340,-33.877131,58.023,-4.104
x,151.211381,-33.877145,58.254,-3.293
x,151.225363,-33.914439,48.022,1.612
x,151.225382,-33.914494,32.067,19.496
x,151.225393,-33.914524,32.067,19.496
x,151.225797,-33.914626,4.527,40.639
x,151.225722,-33.914626,4.603,41.450
